时间,源标签,新标签,原置信,新置信,波长,入射角,截距,宽度,强度,搜索次数,,
2023/12/12 16:44,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",German short-haired pointer,0.98395294,0.672893345,713.7481248,0.29038984,0,3.45,0.7,210,,
,,,,,,,,,,,,
2023/12/12 16:44,"robin, American robin, Turdus migratorius","house finch, linnet, Carpodacus mexicanus",0.992517054,0.371463239,685.8070872,-0.275476486,224.8134719,14.24199399,0.582059626,60,,
,,,,,,,,,,,,
2023/12/12 16:44,"hotdog, hot dog, red hot",French loaf,0.923633218,0.266633779,497.1550028,-0.21475397,232.1499901,18.75,0.634080353,60,,
,,,,,,,,,,,,
2023/12/12 16:44,"Walker hound, Walker foxhound","spotlight, spot",0.950718105,0.129218683,392.0164175,-0.82098529,90.86287356,17.1848227,0.704742776,30,,
,,,,,,,,,,,,
2023/12/12 16:45,"tank, army tank, armored combat vehicle, armoured combat vehicle","projectile, missile",0.991551161,0.378783971,510.677743,-0.251073301,260.635803,18.75,0.7,150,,
,,,,,,,,,,,,
2023/12/12 16:45,electric guitar,swing,0.964709938,0.461386442,591.3057655,1.346972949,116.1570848,11.82777938,0.622180283,30,,
,,,,,,,,,,,,
2023/12/12 16:46,beer bottle,"spotlight, spot",0.969798982,0.437910408,545.9530232,-1.241392841,455.9054015,10.42765778,0.705063427,30,,
,,,,,,,,,,,,
2023/12/12 16:47,"spider web, spider's web",maypole,0.79426676,0.161134273,492.9424713,-0.625284461,143.8031248,14.37283403,0.505526476,30,,
,,,,,,,,,,,,
2023/12/12 16:47,toy poodle,miniature poodle,0.412167042,0.402296662,526.9454014,-0.833554152,217.5655444,11.70910946,0.790984931,30,,
,,,,,,,,,,,,
2023/12/12 16:47,"church, church building",dome,0.503012121,0.49515003,443.4877963,0.706041116,66.19111897,12.88942508,0.658273026,30,,
,,,,,,,,,,,,
2023/12/12 16:47,"dugong, Dugong dugon","hammerhead, hammerhead shark",0.94536221,0.839483678,431.1031807,0.687905613,123.4324243,18.2046296,0.763672836,30,,
,,,,,,,,,,,,
2023/12/12 16:48,"Newfoundland, Newfoundland dog","chow, chow chow",0.938206792,0.504787207,534.3471753,-0.602062796,65.54029444,5,0.7,180,,
,,,,,,,,,,,,
2023/12/12 16:50,missile,"projectile, missile",0.641932845,0.613111019,722.7291308,1.214758065,32.59120052,11.85441247,0.751302482,30,,
,,,,,,,,,,,,
2023/12/12 16:50,tile roof,"spotlight, spot",0.814513266,0.125739336,603.0713884,-0.339991927,265.5808319,17.09144785,0.506473911,30,,
,,,,,,,,,,,,
2023/12/12 16:50,"drilling platform, offshore rig",trimaran,0.294315606,0.171477959,472.5318262,-1.299259812,238.1267922,14.29388151,0.750489684,30,,
,,,,,,,,,,,,
2023/12/12 16:50,vase,water jug,0.305216134,0.147175848,473.8825631,-0.703076919,223.8178903,19.84300263,0.516160697,30,,
,,,,,,,,,,,,
2023/12/12 16:50,"clog, geta, patten, sabot","shoe shop, shoe-shop, shoe store",0.675648093,0.548425317,482.2846659,-0.867402352,162.1868409,13.83703815,0.6560102,30,,
,,,,,,,,,,,,
2023/12/12 16:51,holster,scabbard,0.983297229,0.566794693,491.8201991,0.636079358,109.9240101,14.63679925,0.643820055,270,,
,,,,,,,,,,,,
2023/12/12 16:51,French bulldog,muzzle,0.993150294,0.389835,549.0260178,0.751448794,223.6472582,14.80321725,0.517317709,30,,
,,,,,,,,,,,,
2023/12/12 16:53,"file, file cabinet, filing cabinet",desk,0.715367317,0.271843731,588.0768627,-0.480077766,117.1219377,12.9679125,0.689977876,30,,
,,,,,,,,,,,,
2023/12/12 16:53,"wardrobe, closet, press","file, file cabinet, filing cabinet",0.864471912,0.515512586,599.9892925,0.130440308,269.689129,18.47532301,0.7,180,,
,,,,,,,,,,,,
2023/12/12 16:53,French bulldog,"basset, basset hound",0.633337855,0.160201177,544.0840289,0.781475614,78.96878464,19.29038549,0.575386452,30,,
,,,,,,,,,,,,
2023/12/12 16:54,"chime, bell, gong",projector,0.999645352,0.248777792,492.1524217,0.700161954,290.5111492,17.98062294,0.696833069,60,,
,,,,,,,,,,,,
2023/12/12 16:56,bolete,mushroom,0.701151431,0.633386075,553.8788368,-1.347641269,423.3957405,13.82339536,0.788425678,30,,
,,,,,,,,,,,,
2023/12/12 16:59,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin","garbage truck, dustcart",0.882045925,0.484183013,571.1328913,0.027902892,136.1277884,11.3187543,0.737946081,30,,
,,,,,,,,,,,,
2023/12/12 16:59,"Ibizan hound, Ibizan Podenco","cliff, drop, drop-off",0.997344434,0.098187178,654.8731822,-0.26810421,256.7260158,11.94340848,0.7,60,,
,,,,,,,,,,,,
2023/12/12 16:59,cuirass,"breastplate, aegis, egis",0.720024645,0.485616297,658.9842039,0.001102609,139.8864935,17.11837227,0.549690147,30,,
,,,,,,,,,,,,
2023/12/12 17:00,cocktail shaker,"spotlight, spot",0.920200348,0.435594797,560.9420151,-0.485346719,72.3930244,13.77048058,0.74977628,30,,
,,,,,,,,,,,,
2023/12/12 17:00,goose,"lakeside, lakeshore",0.993074536,0.369450092,521.5859961,0.494501984,65.05349808,19.74007457,0.581294624,30,,
,,,,,,,,,,,,
2023/12/12 17:03,safe,space heater,0.88131851,0.569968402,639.267796,0.330017234,48.49793419,12.04105512,0.58754185,30,,
,,,,,,,,,,,,
2023/12/12 17:03,poncho,stethoscope,0.846744478,0.081505001,512.4543674,-1.06826958,375.7222335,18.92990746,0.637069026,30,,
,,,,,,,,,,,,
2023/12/12 17:04,bolete,broom,0.978954613,0.174640566,692.9000905,-0.009810108,219.6510814,18.75,0.625053436,90,,
,,,,,,,,,,,,
2023/12/12 17:04,"unicycle, monocycle",knee pad,0.981061995,0.511080265,578.6991301,-0.010079994,298.8104596,10.38753042,0.7,210,,
,,,,,,,,,,,,
2023/12/12 17:05,"radio, wireless",iPod,0.320998818,0.429167181,679.0804124,1.3556119,126.1252701,15.13172687,0.76627523,30,,
,,,,,,,,,,,,
2023/12/12 17:06,Tibetan mastiff,"malamute, malemute, Alaskan malamute",0.974805832,0.687051415,511.5004952,0.22088857,18.65233704,17.94574533,0.521929074,30,,
,,,,,,,,,,,,
2023/12/12 17:06,"violin, fiddle","ballpoint, ballpoint pen, ballpen, Biro",0.954880297,0.42543754,450.4094547,0.633369393,3.75325624,7.7,0.450786783,150,,
,,,,,,,,,,,,
2023/12/12 17:06,"meerkat, mierkat",mongoose,0.91912657,0.821514606,485.9169167,0.056060573,246.7248511,14.68958126,0.562216432,60,,
,,,,,,,,,,,,
2023/12/12 17:10,"chime, bell, gong","panpipe, pandean pipe, syrinx",0.912918985,0.865411341,514.596105,-0.763422185,340.4677489,10.82420302,0.793915708,30,,
,,,,,,,,,,,,
2023/12/12 17:13,beer bottle,"spotlight, spot",0.994865596,0.264213711,520.085325,-0.813701095,494.7494181,18.7,0.7,330,,
,,,,,,,,,,,,
2023/12/12 17:13,"doormat, welcome mat","cinema, movie theater, movie theatre, movie house, picture palace",0.265349776,0.171936169,381.5962159,-0.077992441,72.08266613,15.67091293,0.752574015,30,,
,,,,,,,,,,,,
2023/12/12 17:13,"lion, king of beasts, Panthera leo","cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",0.925213158,0.50201726,698.0055289,-1.132356931,368.2252059,17.47649989,0.62752802,30,,
,,,,,,,,,,,,
2023/12/12 17:13,"horizontal bar, high bar",pole,0.925167263,0.506641984,414.1416097,0.49013516,81.86632286,10.70796832,0.692642414,60,,
,,,,,,,,,,,,
2023/12/12 17:13,"bell cote, bell cot","church, church building",0.58025074,0.59996289,459.2085505,-0.143661975,270.8945602,14.56979585,0.610228356,30,,
,,,,,,,,,,,,
2023/12/12 17:16,tile roof,"spotlight, spot",0.998657346,0.5521034,445.9654926,0.243711142,136.0983054,17.44423199,0.607805458,60,,
,,,,,,,,,,,,
2023/12/12 17:16,goose,pole,0.996512592,0.065686978,565.2966954,-0.7436913,329.8554194,16.50442682,0.7,60,,
,,,,,,,,,,,,
2023/12/12 17:17,boxer,bull mastiff,0.986389101,0.517062247,674.8639687,0.550855878,74.25311022,14.06052774,0.602787903,180,,
,,,,,,,,,,,,
2023/12/12 17:18,"lion, king of beasts, Panthera leo","spotlight, spot",0.988256037,0.575135052,462.2256167,-0.811696575,119.9771402,11.45500161,0.665259863,30,,
,,,,,,,,,,,,
2023/12/12 17:18,shovel,"microphone, mike",0.389968455,0.09017545,671.9879174,-1.166314826,178.9809344,15.5879691,0.65114537,30,,
,,,,,,,,,,,,
2023/12/12 17:18,goose,"solar dish, solar collector, solar furnace",0.910198629,0.066756546,542.6824584,0.938203336,81.25994553,10.79375863,0.554633177,30,,
,,,,,,,,,,,,
2023/12/12 17:18,"frying pan, frypan, skillet",measuring cup,0.609015167,0.264529258,397.8972652,1.007487509,258.5515365,18.72661262,0.502805386,30,,
,,,,,,,,,,,,
2023/12/12 17:19,"harvestman, daddy longlegs, Phalangium opilio","walking stick, walkingstick, stick insect",0.998859286,0.558672428,501.7010911,0.5180063,58.63061089,12.34390844,0.7,120,,
,,,,,,,,,,,,
2023/12/12 17:19,"oboe, hautboy, hautbois","oscilloscope, scope, cathode-ray oscilloscope, CRO",0.924077153,0.156356648,516.9761947,-1.048401804,449.7302723,16.63277546,0.700002005,30,,
,,,,,,,,,,,,
2023/12/12 17:20,"meerkat, mierkat",marmot,0.977095246,0.086717717,532.0640622,-0.65757699,277.9496636,14.84044524,0.610700031,60,,
,,,,,,,,,,,,
2023/12/12 17:21,reel,pole,0.756115735,0.547378063,467.5429762,-0.99930125,241.4010426,17.1031227,0.764322876,30,,
,,,,,,,,,,,,
2023/12/12 17:21,beer bottle,"spotlight, spot",0.982624829,0.36224255,497.212821,-0.675467488,306.5952186,17.30606058,0.7,60,,
,,,,,,,,,,,,
2023/12/12 17:22,"ear, spike, capitulum",corn,0.796943486,0.501133859,598.3552298,0.433323365,23.21467704,10.43302605,0.731920327,30,,
,,,,,,,,,,,,
2023/12/12 17:23,goose,"projectile, missile",0.894979,0.376851052,622.2475459,-0.250560923,267.2393736,16.63272183,0.683883571,150,,
,,,,,,,,,,,,
2023/12/12 17:23,"aircraft carrier, carrier, flattop, attack aircraft carrier","projectile, missile",0.971031606,0.396778554,552.6508288,0.003537434,141.1841723,12.55600566,0.7,60,,
,,,,,,,,,,,,
2023/12/12 17:23,"frying pan, frypan, skillet",Dutch oven,0.898173869,0.498289496,487.7400058,-0.748147524,280.5750856,18.6248069,0.57620378,30,,
,,,,,,,,,,,,
2023/12/12 17:24,cannon,"projectile, missile",0.978242457,0.540318966,617.6886823,-0.180151663,200.2149004,15.97810551,0.521316412,30,,
,,,,,,,,,,,,
2023/12/12 17:24,"balance beam, beam","parallel bars, bars",0.913893342,0.520464838,607.8569272,0.06387961,172.8674832,18.53723992,0.605961195,60,,
,,,,,,,,,,,,
2023/12/12 17:24,mixing bowl,"plunger, plumber's helper",0.992314517,0.446432173,593.399423,-0.105307228,83.09513322,15.56279326,0.763255587,30,,
,,,,,,,,,,,,
2023/12/12 17:25,"wool, woolen, woollen",spindle,0.911388755,0.238097191,617.4070795,-1.264876974,317.4294804,11.81609159,0.797080533,30,,
,,,,,,,,,,,,
2023/12/12 17:26,green mamba,vine snake,0.98461771,0.505603492,577.3936386,-0.241675469,255.8474836,10.67856304,0.588849138,30,,
,,,,,,,,,,,,
